"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 30 12:04:22 GMT 2023","Mon Jan 30 12:04:22 GMT 2023","0","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Mon Jan 30 12:05:06 GMT 2023","Mon Jan 30 12:05:10 GMT 2023","4164","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"broken","Mon Jan 30 12:04:31 GMT 2023","Mon Jan 30 12:04:36 GMT 2023","4958","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Mon Jan 30 12:04:25 GMT 2023","Mon Jan 30 12:04:25 GMT 2023","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Mon Jan 30 12:04:18 GMT 2023","Mon Jan 30 12:04:23 GMT 2023","5191","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Mon Jan 30 12:04:47 GMT 2023","Mon Jan 30 12:04:47 GMT 2023","0","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"passed","Mon Jan 30 12:03:54 GMT 2023","Mon Jan 30 12:03:56 GMT 2023","2887","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"broken","Mon Jan 30 12:05:14 GMT 2023","Mon Jan 30 12:05:19 GMT 2023","4395","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""t.me/fojin_tech"" link","
        user can go to all bottom links from the main page
        "
"broken","Mon Jan 30 12:04:48 GMT 2023","Mon Jan 30 12:04:48 GMT 2023","0","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""about-us"" link","
        user can go to all top links from the main page
        "
"broken","Mon Jan 30 12:04:24 GMT 2023","Mon Jan 30 12:04:29 GMT 2023","4912","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"broken","Mon Jan 30 12:03:40 GMT 2023","Mon Jan 30 12:03:43 GMT 2023","3010","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Mon Jan 30 12:03:57 GMT 2023","Mon Jan 30 12:03:59 GMT 2023","2804","ui_tests","test_cases_page","TestCasesPage","","","User can see the 2 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Mon Jan 30 12:04:50 GMT 2023","Mon Jan 30 12:04:54 GMT 2023","3776","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"broken","Mon Jan 30 12:03:58 GMT 2023","Mon Jan 30 12:04:04 GMT 2023","6079","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
"passed","Mon Jan 30 12:05:03 GMT 2023","Mon Jan 30 12:05:07 GMT 2023","4664","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","
        user can go to all top links from the main page
        "
"passed","Mon Jan 30 12:04:04 GMT 2023","Mon Jan 30 12:04:06 GMT 2023","2477","ui_tests","test_cases_page","TestCasesPage","","","User can see the 3 case","
        test checks availability of each case page(doesn't check content!)
        "
